model_id,cell_line_name,lineage,primary_disease,gene_effect
ACH-000001,NIH:OVCAR-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,0.023583539793859857
ACH-000004,HEL,Myeloid,Acute Myeloid Leukemia,0.05658419356828774
ACH-000005,HEL 92.1.7,Myeloid,Acute Myeloid Leukemia,0.18397976376746544
ACH-000007,LS513,Bowel,Colorectal Adenocarcinoma,-0.027426328255782954
ACH-000009,C2BBe1,Bowel,Colorectal Adenocarcinoma,0.1010072674437161
ACH-000011,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.13213161939640838
ACH-000012,HCC-827,Lung,Non-Small Cell Lung Cancer,-0.09241741898976996
ACH-000013,ONCO-DG-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.008955012977060922
ACH-000014,Hs 294T,Skin,Melanoma,0.14979483179063077
ACH-000015,NCI-H1581,Lung,Non-Small Cell Lung Cancer,-0.06875171285170446
ACH-000017,SK-BR-3,Breast,Invasive Breast Carcinoma,-0.10282567894904023
ACH-000018,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.3975706504573698
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,0.015591736785709059
ACH-000021,NCI-H1693,Lung,Non-Small Cell Lung Cancer,0.12458915508038071
ACH-000022,PA-TU-8988S,Pancreas,Pancreatic Adenocarcinoma,-0.02911492006394962
ACH-000023,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma,-0.0035659060989923115
ACH-000024,OPM-2,Lymphoid,Mature B-Cell Neoplasms,0.018526040451265293
ACH-000025,CH-157MN,CNS/Brain,Meningothelial Tumor,0.08389078922442544
ACH-000026,253J-BV,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,0.2884139543207408
ACH-000028,KPL-1,Breast,Invasive Breast Carcinoma,-0.08100341041160354
ACH-000029,HCC-827-GR5,Lung,Non-Small Cell Lung Cancer,-0.04611390642717493
ACH-000030,PC-14,Lung,Non-Small Cell Lung Cancer,-0.12323551838846435
ACH-000035,NCI-H1650,Lung,Non-Small Cell Lung Cancer,0.10994468170695276
